site_id,site_name,profile_id_a,profile_id_b,profile_name_a,profile_name_b,date_start,date_end,retreat_m_a,retreat_m_b,retreat_rate_m_per_year_a,retreat_rate_m_per_year_b,retreat_abs_m_a,retreat_abs_m_b,has_conflicting_shoreline_duplicates_a,has_conflicting_shoreline_duplicates_b
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_61,ПРОФИЛЬ № 60,ПРОФИЛЬ № 61,2013-07-09,2016-05-25,-9.29,-8.150000000000002,-3.228518078020932,-2.8323382492863947,9.29,8.150000000000002,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_61,ПРОФИЛЬ № 60,ПРОФИЛЬ № 61,2016-05-25,2019-08-14,-7.400000000000006,-3.59,-2.2983418367346955,-1.1150063775510204,7.400000000000006,3.59,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_61,ПРОФИЛЬ № 60,ПРОФИЛЬ № 61,2019-08-14,2021-07-07,-16.799999999999997,-7.270000000000007,-8.854545454545454,-3.831699134199138,16.799999999999997,7.270000000000007,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_61,ПРОФИЛЬ № 60,ПРОФИЛЬ № 61,2021-07-07,2023-10-03,-6.93,-1.6499999999999917,-3.0943551344743274,-0.7367512224938837,6.93,1.6499999999999917,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1958-10-01,1960-10-23,-19.17999999999998,-25.09999999999997,-9.30344621513943,-12.174999999999985,19.17999999999998,25.09999999999997,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1960-10-23,1965-07-31,-31.45999999999998,-37.150000000000034,-6.596305970149249,-7.789344144661316,31.45999999999998,37.150000000000034,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1965-07-31,1970-07-18,-16.590000000000032,-23.340000000000032,-3.342249034749041,-4.7021152785438565,16.590000000000032,23.340000000000032,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1970-07-18,1974-07-13,-9.269999999999982,-16.605865594806687,-2.3254584478021934,-4.165722808037873,9.269999999999982,16.605865594806687,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1974-07-13,1980-11-27,-10.150000000000006,-12.654134405193304,-1.5917936882782318,-1.984509485400109,10.150000000000006,12.654134405193304,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1980-11-27,1986-10-26,-14.25,-22.024134731714184,-2.41075150532654,-3.7259449795083865,14.25,22.024134731714184,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1986-10-26,1991-10-18,-18.120000000000005,-21.66355855669758,-3.640445544554457,-4.352373356894275,18.120000000000005,21.66355855669758,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1991-10-18,1994-10-21,-1.960000000000008,-21.70007549145336,-0.651401273885353,-7.211967764561729,1.960000000000008,21.70007549145336,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,1994-10-21,2000-07-13,-23.02,-31.85223122013485,-4.019146749521988,-5.561198591373927,23.02,31.85223122013485,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2000-07-13,2001-07-15,-4.950000000000003,54.76223122013485,-4.92639645776567,54.50110341458925,4.950000000000003,54.76223122013485,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2005-10-15,2006-07-22,-3.820000000000008,-4.6054804081609575,-4.983053571428582,-6.00768471100282,3.820000000000008,4.6054804081609575,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2006-07-22,2006-09-30,-0.0699999999999931,-0.0499999999999829,-0.3652499999999644,-0.2608928571427681,0.0699999999999931,0.0499999999999829,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2006-09-30,2009-07-20,-20.47000000000001,-28.89000000000001,-7.301433105468752,-10.304758300781256,20.47000000000001,28.89000000000001,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2009-07-20,2010-07-24,7.539999999999999,-2.2700000000000102,7.463373983739836,-2.246930894308953,7.539999999999999,2.2700000000000102,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2010-07-24,2011-09-14,0.1599999999999966,-0.6399999999999864,0.1401438848920833,-0.5605755395683334,0.1599999999999966,0.6399999999999864,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2011-09-14,2012-10-16,-0.9699999999999988,-0.7400000000000091,-0.890182160804019,-0.6791080402010133,0.9699999999999988,0.7400000000000091,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2012-10-16,2013-07-09,-2.029999999999994,-6.050000000000011,-2.787434210526308,-8.307377819548888,2.029999999999994,6.050000000000011,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2013-07-09,2016-05-25,-9.29,-12.049999999999985,-3.228518078020932,-4.187690294957178,9.29,12.049999999999985,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2016-05-25,2019-08-14,-7.400000000000006,-3.3500000000000085,-2.2983418367346955,-1.0404655612244924,7.400000000000006,3.3500000000000085,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2019-08-14,2021-07-07,-16.799999999999997,-1.480000000000004,-8.854545454545454,-0.7800432900432922,16.799999999999997,1.480000000000004,False,False
berezhnovka,Бережновка,berezhnovka_profile_60,berezhnovka_profile_62,ПРОФИЛЬ № 60,ПРОФИЛЬ № 62,2021-07-07,2023-10-03,-6.93,-1.4299999999999926,-3.0943551344743274,-0.6385177261613658,6.93,1.4299999999999926,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1958-10-01,1960-10-23,-20.94,-25.09999999999997,-10.157151394422309,-12.174999999999985,20.94,25.09999999999997,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1960-10-23,1965-07-31,-23.930000000000007,-37.150000000000034,-5.017469862227326,-7.789344144661316,23.930000000000007,37.150000000000034,False,False
berezhnovka,Бережновка,berezhnovka_profile_61,berezhnovka_profile_62,ПРОФИЛЬ № 61,ПРОФИЛЬ № 62,1965-07-31,1970-07-18,-20.430000000000007,-23.340000000000032,-4.115861831218975,-4.7021152785438565,20.430000000000007,23.340000000000032,False,False
