site_name_raw,site_id,base_point_name_raw,base_point_name_norm,obs_date_raw,obs_date,y_m,x_m,accuracy_m,note_raw,point_status,is_calculated,is_reinstalled,is_new,is_refined,has_uncertain_date,needs_manual_review,review_reason,source_file,source_row_ref
Бережновка,berezhnovka,138C,138C,,,5571765.0,560438.0,,,original,False,False,False,False,True,True,date missing or partial in source,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:346
Нижний Балыклей,nizhniy_balykley,126E(1107),126E(1107),.07.2011,,5482993.0,510321.0,2.5,"d=2,5 | , h-1",original,False,False,False,False,True,True,date missing or partial in source,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:126
Нижний Балыклей,nizhniy_balykley,126F(1107),126F(1107),.07.2011,,5482984.0,510356.0,2.5,"d=2,5 | , h-1",original,False,False,False,False,True,True,date missing or partial in source,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:132
Нижний Балыклей,nizhniy_balykley,128D(1107),128D(1107),.07.2011,,5483140.0,510388.0,2.5,"d=2,5 | , h-1",original,False,False,False,False,True,True,date missing or partial in source,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:138
Ураков Бугор,urakov_bugor,3,3,14.08.2019,2019-08-14,5565795.0,543709.0,,Координаты извлечены из блока без явной подписи точки; в проектном контексте соответствуют точке 3 участка Ураков Бугор.,original,False,False,False,False,False,True,Coordinate assignment inferred from the document block and conflicts with the known Nizhniy Urakov point-3 coordinate cluster.,data/raw/docs/GPS-координаты пунктов базиса с дополнениями Барановой 2024 г..doc,strings_el:229
