Участок,Дата,Год,ГП,ИГП_м,ИПН_м,"ргп-пн, м",ГП__1,ИГП_м__1,"ргп-пн, м__1",ИПН_м__1,ГП__2,ИГП_м__2,"ргп-пн, м__2",ИПН_м__2,,ГП__3,ИГП_м__3,"ргп-пн, м__3",ИПН_м__3,ГП__4,ИГП_м__4,"ргп-пн, м__4",ИПН_м__4,__1
Бережновка,1958-10-01,1958,136,125.4,249.42,124.02000000000001,138,156.3,96.22,252.52,140,134.3,,428.8298156863984,,,,,,,,,,
Бережновка,1960-10-23,1960,136,106.22,230.24,124.02000000000001,138,135.36,96.22,231.58,140,109.2,,403.72981568639835,,,,,,,,,,
Бережновка,1965-07-31,1965,136,74.76,198.78000000000003,124.02000000000001,138,111.43,96.22,207.65,140,72.05,,366.5798156863984,,,,,,,,,,
Бережновка,1970-07-18,1970,136,58.17,182.19,124.02000000000001,138,91.0,96.22,187.22,140,48.71,,343.23981568639834,,,,,,,,,,
Бережновка,1974-07-13,1974,135,11.8,172.92000000000002,161.12,137,30.7,143.07999999999998,173.77999999999997,139,7.1,,326.63395009159166,,,,,,,,,,
Бережновка,1980-11-27,1980,135,1.65,162.77,161.12,137,20.45,143.07999999999998,163.52999999999997,140,19.45,,313.97981568639835,,,,,,,,,,
Бережновка,1986-10-26,1986,136,24.5,148.52,124.02000000000001,138,52.15,96.22,148.37,5C,19.43,,291.95568095468417,,,,,,,,,,
Бережновка,1991-10-18,1991,136,6.38,130.4,124.02000000000001,3С,5.63,122.82,128.45,5C2,25.34,,270.2921223979866,,,,,,,,,,
Бережновка,1994-10-21,1994,136,4.42,128.44,124.02000000000001,3С,5.0,122.82,127.82,140А,9.59,,248.59204690653323,,,,,,,,,,
Бережновка,2000-07-13,2000,136,105.42,105.42,0.0,138А,91.26,0.0,91.26,140,-77.79,,216.73981568639834,,,,,,,,,,
Бережновка,2001-07-15,2001,136,30.74,100.47,69.73,"Рп ""Белимова""*",41.41,43.29,84.69999999999999,140А*,32.5,,271.5020469065332,,,,,,,,,,
Бережновка,2005-07-22,2005,136,12.46,82.19,69.73,138А,53.9,0.0,53.9,,,,,,,,,,,,,,
Бережновка,2005-10-15,2005,136,12.42,82.15,69.73,138А,52.25,0.0,52.25,140С*,40.45,,180.44548040816096,,,,,,,,,,
Бережновка,2006-07-22,2006,136,8.6,78.33,69.73,138А,48.55,0.0,48.55,140С,35.85,139.99,175.84,,,,,,,,,,
Бережновка,2006-09-30,2006,136,8.53,78.26,69.73,138А,48.19,48.19,48.19,140С,35.8,139.99,175.79000000000002,,,,,,,,,,
Бережновка,2009-07-20,2009,1360907,57.79,57.79,0.0,138А(0907),32.2,0.0,32.2,140С,6.91,139.99,146.9,,,,,,,,,,
Бережновка,2010-07-24,2010,1361007,65.33,65.33,0.0,138А(0907),29.91,0.0,29.91,140С,4.64,139.99,144.63,,,,,,,,,,
Бережновка,2011-09-14,2011,1361109,65.49,65.49,0.0,138А(0907),29.02,0.0,29.02,140С,4.0,139.99,143.99,,,,,,,,,,
Бережновка,2012-10-16,2012,1361109,64.52,64.52,0.0,138А(0907),27.9,0.0,27.9,140С,3.26,139.99,143.25,,,,,,,,,,
Бережновка,2013-07-09,2013,1361109,62.49,62.49,0.0,138А(0907),26.69,0.0,26.69,140D,137.2,0.0,137.2,,,,,,,,,,
Бережновка,2016-05-25,2016,1361109,53.2,53.2,0.0,138А(0907),18.54,0.0,18.54,140D,125.15,0.0,125.15,,,,,,,,,,
Бережновка,2019-08-14,2019,1361109,45.8,45.8,0.0,138А(0907),14.95,0.0,14.95,140D,121.8,0.0,121.8,,,,,,,,,,
Бережновка,2021-07-07,2021,1361109,29.0,29.0,0.0,138А(0907),92.57,-84.89,7.679999999999993,140D,120.32,0.0,120.32,,,,,,,,,,
Бережновка,2023-10-03,2023,1361109,22.07,22.07,0.0,138C,41.5,49.42,6.030000000000001,140F,64.01,54.88,118.89000000000001,,,,,,,,,,
Бурты,1987-06-30,1987,1,1.3,82.85000000000001,81.55000000000001,2а,2.0,76.47999999999999,78.47999999999999,3а,2.2,74.0,76.2,,,,,,,,,,
Бурты,1990-05-28,1990,1,0.61,82.16000000000001,81.55000000000001,2,22.55,53.48,76.03,3,17.54,55.2,72.74000000000001,,,,,,,,,,
Бурты,1995-07-19,1995,1,16.5,74.38,57.88,2,15.8,53.48,69.28,3,8.17,55.2,63.370000000000005,,,,,,,,,,
Бурты,2000-07-15,2000,1,12.24,70.12,57.88,2,11.43,53.48,64.91,3,2.57,55.2,57.77,,,,,,,,,,
Бурты,2001-07-10,2001,1,11.52,69.4,57.88,2,7.55,53.48,61.029999999999994,3,0.95,55.2,56.150000000000006,,,,,,,,,,
Бурты,2003-07-17,2003,1,8.5,66.38,57.88,2,4.9,53.48,58.379999999999995,30,53.4,0.0,53.4,,,,,,,,,,
Бурты,2004-07-21,2004,1,7.52,65.4,57.88,20,56.56,0.0,56.56,30,51.28,0.0,51.28,,,,,,,,,,
Бурты,2005-07-18,2005,1,7.29,65.17,57.88,20,56.01,0.0,56.01,31,50.92,0.0,50.92,,,,,,,,,,
Бурты,2006-07-28,2006,1,5.48,63.36,57.88,20,53.13,0.0,53.13,31,49.33,0.0,49.33,,,,,,,,,,
Бурты,2006-10-02,2006,1,5.39,63.27,57.88,21(нов.),19.79,33.62,53.41,31,49.37,0.0,49.37,,,,,,,,,,
Бурты,2008-11-22,2008,1,2.78,60.66,57.88,21(нов.),16.07,33.62,49.69,31,46.57,0.0,46.57,,,,,,,,,,
Бурты,2009-07-17,2009,1,2.9,60.78,57.88,21(нов.),15.4,33.62,49.019999999999996,31,46.6,0.0,46.6,,,,,,,,,,
Бурты,2009-10-01,2009,1,1.72,59.6,57.88,21 (нов.),15.0,33.62,48.62,31,46.0,0.0,46.0,Наблюдения ОГ ВЦГМС по трём УПБ (предоставлены вместе с данными к ВПУ-2010).,,,,,,,,,
Бурты,2010-07-22,2010,10,59.54,59.54,0.0,21 (нов.),14.68,33.62,48.3,31,44.72,0.0,44.72,,,,,,,,,,
Бурты,2011-07-13,2011,11,33.48,58.84,25.36,21 (нов.),14.6,33.62,48.22,31,44.7,0.0,44.7,"На ппс 1 впереди Рп 10 (ближе к вдхр) установлен новый Рп 11 (в 25,36 м от Рп 10: стальная труба с цилиндрическим расширением в верхней части). ",,,,,,,,,
Бурты,2012-09-25,2012,11,33.28,58.64,25.36,21 (нов.),14.6,33.62,48.22,31,44.03,0.0,44.03," Дата домеров принята условно; наблюдения выполнены ОГ ВЦГМС (Надточий, Озерина), информация передана через Озерину и Филиппову; дату необходимо уточнить!",,,,,,,,,
Бурты,2013-07-12,2013,11,32.74,58.07,25.33,21 (нов.),13.72,33.62,47.339999999999996,31,44.0,0.0,44.0," На ППС № 1: внесено уточненное расстояние между Рп 11 и Рп 10 (двойное измерение: 25,32 и 25,34 м). ",,,,,,,,,
Бурты,2014-07-09,2014,111407,29.83,55.19,25.36,21 (нов.),11.24,33.62,44.86,31,43.76,0.0,43.76," На ППС 1 вновь измерено прямым и обратным ходами расстояние между Рп 10 и Рп 11: прямой ход - 25,35; обратный - 25,38; среднее расстояние - 25,365 м. Принято: 25,36 м. ",,,,,,,,,
Бурты,2015-07-14,2015,111407,29.43,54.79,25.36,21 (нов.),10.8,33.62,44.42,31,43.69,0.0,43.69,,,,,,,,,,
Бурты,2016-10-13,2016,111407,29.1,54.46,25.36,21 (нов.),10.01,33.62,43.629999999999995,*,,,,* На ППС 3 найден только РП 31. Измерение от РП 31 по перпендикуляру к бровке дало ошибочный результат. Поэтому расстояние здесь не приведено.  ,,,,,,,,,
Бурты,2017-06-20,2017,111407,27.54,52.9,25.36,21 (нов.),7.79,33.62,41.41,31,43.54,0.0,43.54,,,,,,,,,,
Бурты,2019-10-08,2019,111407,26.45,51.81,25.36,21 (нов.),6.76,33.62,40.379999999999995,31,43.3,0.0,43.3,"   В документе, переданном из ОГ ВЦГМС: 6,45 м. Очевидно, в домере пропущена лента (20 м).",,,,,,,,,
Бурты,2020-08-18,2020,111407,25.44,50.8,25.36,21 (нов.),5.5,33.62,39.12,31,43.46,0.0,43.46,,,,,,,,,,
Бурты,2022-08-04,2022,111407,23.75,49.11,25.36,21 (нов.),4.52,33.62,38.14,31,43.42,0.0,43.42,,,,,,,,,,
Бурты,2023-08-15,2023,111407,23.07,48.43,25.36,21 (нов.),3.5,33.62,37.12,31,43.1,0.0,43.1,,,,,,,,,,
Молчановка,1958-09-30,1958,130,398.0,139.8,-258.2,132,338.0,-175.8,162.2,134,356.4,-165.4,190.99999999999997,,,,,,,,,,
Молчановка,1960-10-22,1960,129,135.1,135.1,0.0,132,331.0,-175.8,155.2,133,183.3,0.0,183.3,,,,,,,,,,
Молчановка,1965-07-29,1965,129,110.0,110.0,0.0,132,310.8,-175.8,135.0,133,164.0,0.0,164.0,,,,,,,,,,
Молчановка,1970-07-17,1970,129,92.74,92.74,0.0,132,293.19,-175.8,117.38999999999999,133,143.83,0.0,143.83,,,,,,,,,,
Молчановка,1974-07-16,1974,129,86.0,86.0,0.0,132,285.0,-175.8,109.19999999999999,133,133.0,0.0,133.0,,,,,,,,,,
Молчановка,1980-11-27,1980,1,8.4,81.80000000000001,73.4,шт. 2,8.3,89.4,97.7,шт. 3,21.3,102.02,123.32,,,,,,,,,,
Молчановка,1986-10-27,1986,129,73.2,73.2,0.0,шт. 2,3.1,89.4,92.5,шт. 3,13.9,102.02,115.92,,,,,,,,,,
Молчановка,1989-05-21,1989,129,71.65,71.65,0.0,131,89.35,0.0,89.35,шт. 3,11.9,102.02,113.92,,,,,,,,,,
Молчановка,1994-10-24,1994,129,68.29,68.29,0.0,131,83.1,0.0,83.1,шт. 3,4.15,102.02,106.17,,,,,,,,,,
Молчановка,2003-07-23,2003,129,66.36,66.36,0.0,131,72.65,0.0,72.65,133,95.59,0.0,95.59,,,,,,,,,,
Молчановка,2004-07-27,2004,129,66.01,66.01,0.0,131*,71.55,0.0,71.55,133*,94.08,0.0,94.08,"*Измерения прямым и обратным ходами. Результаты ходов: ПРФ 57: 66,02 и 66,00 м; ПРФ 58: 71,59 и 71,51 м; ПРФ 59: 94,20 и 93,95 м.",,,,,,,,,
Молчановка,2006-07-23,2006,129,65.3,65.3,0.0,131*,67.95,0.0,67.95,,,,,"То же. ПРФ 57: 65,26 и 65,33 м; ПРФ 58: 67,97 и 67,93 м; ПРФ 59: измерений нет; нет и описаний по Рп 133.",,,,,,,,,
Молчановка,2006-09-30,2006,129,65.67,65.67,0.0,131,67.79,0.0,67.79,133,90.6,0.0,90.6,,,,,,,,,,
