file,site,profile,date_raw,Дата,Год,Пункт,ГП,ИПН_м,ИГП_м,РГП_ПН_м
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,1980-11-05,1980-11-05,1980,,шт. 4,36.98,27.0,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,1986-11-15,1986-11-15,1986,,шт. 4,33.38,23.4,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,1988-09-13,1988-09-13,1988,,шт. 4,30.38,20.4,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,1990-03-01,1990-03-01,1990,,,,,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,1995-07-14,1995-07-14,1995,,шт. 4,30.09,20.11,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2005-07-15,2005-07-15,2005,,шт. 4*,27.02,17.04,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2006-07-18,2006-07-18,2006,,шт. 4,27.26,17.28,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2006-09-25,2006-09-25,2006,,шт. 4,27.19,17.21,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2009-07-14,2009-07-14,2009,,шт. 4,27.08,17.1,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2011-09-16,2011-09-16,2011,,шт. 4,26.73,16.75,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2013-07-02,2013-07-02,2013,,шт. 4,26.34,16.36,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2015-07-13,2015-07-13,2015,,шт. 4,25.72,15.74,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2016-09-14,2016-09-14,2016,,4,25.82,25.82,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2017-06-19,2017-06-19,2017,,шт. 4,25.48,15.5,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2019-10-07,2019-10-07,2019,,шт. 4,25.28,15.3,9.98
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2021-06-01,2021-06-01,2021,,*,,,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___4.xlsx,Пичуга-Южный,ПРОФИЛЬ___4,2024-07-12,2024-07-12,2024,,4,25.17,25.17,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,1977-12-01,1977-12-01,1977,,шт. 5,26.99,9.0,17.99
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,1980-11-05,1980-11-05,1980,,5,25.6,25.6,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,1986-11-15,1986-11-15,1986,,5,23.1,23.1,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,1988-09-13,1988-09-13,1988,,шт. 5,23.04,5.05,17.99
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,1990-03-01,1990-03-01,1990,,шт. 5,22.19,4.2,17.99
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,1995-07-14,1995-07-14,1995,,шт. 5,20.62,2.63,17.99
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2005-07-15,2005-07-15,2005,,"""Контрольный""",,51.1,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2006-07-18,2006-07-18,2006,,50,,50.33,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2006-09-25,2006-09-25,2006,,5,16.36,16.36,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2009-07-14,2009-07-14,2009,,5,16.31,16.30739130434782,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2011-09-16,2011-09-16,2011,,5,16.07,16.07,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2013-07-02,2013-07-02,2013,,5,16.1,16.1,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2015-07-13,2015-07-13,2015,,51,15.84,19.37,3.53
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2016-09-14,2016-09-14,2016,,50,15.89,50.5,34.61
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2017-06-19,2017-06-19,2017,,51,15.49,19.02,3.53
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2019-10-07,2019-10-07,2019,,51,15.47,19.0,3.53
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2021-06-01,2021-06-01,2021,,51,15.29,18.82,3.53
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___5.xlsx,Пичуга-Южный,ПРОФИЛЬ___5,2024-07-12,2024-07-12,2024,,5,15.18,15.18,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,1977-12-01,1977-12-01,1977,,шт. 6,33.28,10.8,22.48
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,1980-11-05,1980-11-05,1980,,6,30.0,30.0,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,1986-11-15,1986-11-15,1986,,6,29.01,29.01,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,1988-09-13,1988-09-13,1988,,шт. 6,28.73,6.25,22.48
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,1990-03-01,1990-03-01,1990,,шт. 6,27.43,4.95,22.48
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,1995-07-14,1995-07-14,1995,,шт. 6,26.8,4.32,22.48
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2005-07-15,2005-07-15,2005,,,,,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2006-07-18,2006-07-18,2006,,,,,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2006-09-25,2006-09-25,2006,,,,,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2009-07-14,2009-07-14,2009,,,,,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2011-09-16,2011-09-16,2011,,6,21.32,21.32,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2013-07-02,2013-07-02,2013,,,,,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2015-07-13,2015-07-13,2015,,6(1507),19.37,19.37,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2016-09-14,2016-09-14,2016,,6(1507),21.76,21.76,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2017-06-19,2017-06-19,2017,,,,,
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2019-10-07,2019-10-07,2019,,6(1507),20.18,20.18,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2021-06-01,2021-06-01,2021,,6(1507),19.67,19.67,0.0
results_models\profiles\Пичуга-Южный__ПРОФИЛЬ___6.xlsx,Пичуга-Южный,ПРОФИЛЬ___6,2024-07-12,2024-07-12,2024,,6(1507),19.61,19.61,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,1987-07-01,1987-07-01,1987,,1а,58.03,3.0,55.03
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,1990-05-19,1990-05-19,1990,,1а,57.53,2.5,55.03
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,1993-05-25,1993-05-25,1993,,1а (9305),50.89,10.8,40.09
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,1995-07-17,1995-07-17,1995,,,,,
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,1997-08-14,1997-08-14,1997,,1,50.83,50.83,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,1999-07-09,1999-07-09,1999,,1,50.43,50.43,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2000-07-06,2000-07-06,2000,,1,47.64,47.64,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2001-07-06,2001-07-06,2001,,1,47.01,47.01,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2003-07-16,2003-07-16,2003,,1,47.0,47.0,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2004-07-19,2004-07-19,2004,,1,47.0,47.0,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2006-07-19,2006-07-19,2006,,1,47.01,47.01,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2006-09-26,2006-09-26,2006,,1,47.0,47.0,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2008-11-22,2008-11-22,2008,,1,46.7,46.7,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2009-07-15,2009-07-15,2009,,1*,46.7,46.7,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2010-07-20,2010-07-20,2010,,,,,
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2011-07-13,2011-07-13,2011,,1,48.37,48.37,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2012-10-17,2012-10-17,2012,,1,32.3,32.3,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2013-07-04,2013-07-04,2013,,1,46.67,46.67,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2014-07-08,2014-07-08,2014,,1,47.16,47.16,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2015-07-13,2015-07-13,2015,,1,47.09,47.09,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2016-09-15,2016-09-15,2016,,*,,,
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2019-10-10,2019-10-10,2019,,1,47.11,47.11,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2020-08-17,2020-08-17,2020,,*,,,
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2022-08-04,2022-08-04,2022,,*,,,
results_models\profiles\Пролейский__ПРОФИЛЬ___1.xlsx,Пролейский,ПРОФИЛЬ___1,2023-08-14,2023-08-14,2023,,*,,,
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,1987-07-01,1987-07-01,1987,,2б,61.85999999999999,0.9,60.96
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,1990-05-19,1990-05-19,1990,,2б (8806),57.03,0.73,56.3
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,1993-05-25,1993-05-25,1993,,2б (9305),46.09,13.18,32.91
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,1995-07-17,1995-07-17,1995,,2а (черн.),43.04,17.99,25.05
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,1997-08-14,1997-08-14,1997,,2,39.0,39.0,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,1999-07-09,1999-07-09,1999,,2а (бел.),36.33,11.83,24.5
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2000-07-06,2000-07-06,2000,,2а (черн.),31.07,6.02,25.05
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2001-07-06,2001-07-06,2001,,2а (черн.),28.03,2.98,25.05
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2003-07-16,2003-07-16,2003,,2а (черн.),25.15,0.1,25.05
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2004-07-19,2004-07-19,2004,,2,23.8,23.8,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2006-07-19,2006-07-19,2006,,2,21.61,21.61,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2006-09-26,2006-09-26,2006,,2,20.51,20.51,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2008-11-22,2008-11-22,2008,,2,19.9,19.9,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2009-07-15,2009-07-15,2009,,2,19.62,19.62,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2010-07-20,2010-07-20,2010,,2,19.73,19.73,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2011-07-13,2011-07-13,2011,,2,19.6,19.6,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2012-10-17,2012-10-17,2012,,2,19.52,19.52,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2013-07-04,2013-07-04,2013,,2,19.37,19.37,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2014-07-08,2014-07-08,2014,,2,19.5,19.5,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2015-07-13,2015-07-13,2015,,2,19.38,19.38,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2016-09-15,2016-09-15,2016,,2,19.4,19.4,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2019-10-10,2019-10-10,2019,,2,19.45,19.45,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2020-08-17,2020-08-17,2020,,2,19.38,19.38,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2022-08-04,2022-08-04,2022,,2,19.08,19.08,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___2.xlsx,Пролейский,ПРОФИЛЬ___2,2023-08-14,2023-08-14,2023,,2,19.2,19.2,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,1987-07-01,1987-07-01,1987,,3а,65.4,6.4,59.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,1990-05-19,1990-05-19,1990,,3а,59.11,0.11,59.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,1993-05-25,1993-05-25,1993,,3,49.74,49.74,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,1995-07-17,1995-07-17,1995,,30,48.24,94.52,-46.28
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,1997-08-14,1997-08-14,1997,,3,42.7,42.7,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,1999-07-09,1999-07-09,1999,,30,40.19,86.47,-46.28
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2000-07-06,2000-07-06,2000,,30,34.98,81.26,-46.28
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2001-07-06,2001-07-06,2001,,3а*,,0.3,
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2003-07-16,2003-07-16,2003,,3,29.2,29.2,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2004-07-19,2004-07-19,2004,,3,26.95,26.95,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2006-07-19,2006-07-19,2006,,3*,27.06,27.06,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2006-09-26,2006-09-26,2006,,3,22.6,22.6,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2008-11-22,2008-11-22,2008,,3,22.61,22.61,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2009-07-15,2009-07-15,2009,,3,22.41,22.41,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2010-07-20,2010-07-20,2010,,3,22.52,22.52,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2011-07-13,2011-07-13,2011,,3,21.99,21.99,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2012-10-17,2012-10-17,2012,,3,21.77,21.77,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2013-07-04,2013-07-04,2013,,3,21.59,21.59,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2014-07-08,2014-07-08,2014,,3,21.56,21.56,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2015-07-13,2015-07-13,2015,,3,21.52,21.52,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2016-09-15,2016-09-15,2016,,3,21.32,21.32,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2019-10-10,2019-10-10,2019,,3,21.39,21.39,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2020-08-17,2020-08-17,2020,,3,21.26,21.26,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2022-08-04,2022-08-04,2022,,3,21.29,21.29,0.0
results_models\profiles\Пролейский__ПРОФИЛЬ___3.xlsx,Пролейский,ПРОФИЛЬ___3,2023-08-14,2023-08-14,2023,,3,21.05,21.05,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___2.xlsx,Суводская,ПРОФИЛЬ___2,2009-07-16,2009-07-16,2009,,22,,,
results_models\profiles\Суводская__ПРОФИЛЬ___2.xlsx,Суводская,ПРОФИЛЬ___2,2009-10-16,2009-10-16,2009,,22,31.76,31.76,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___2.xlsx,Суводская,ПРОФИЛЬ___2,2010-07-28,2010-07-28,2010,,22,31.58,31.58,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___2.xlsx,Суводская,ПРОФИЛЬ___2,2013-07-13,2013-07-13,2013,,22,31.18,31.18,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___2.xlsx,Суводская,ПРОФИЛЬ___2,2025-04-23,2025-04-23,2025,,22,26.74,26.74,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___3.xlsx,Суводская,ПРОФИЛЬ___3,2009-07-16,2009-07-16,2009,,32,13.67,13.67,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___3.xlsx,Суводская,ПРОФИЛЬ___3,2009-10-16,2009-10-16,2009,,32,13.7,13.7,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___3.xlsx,Суводская,ПРОФИЛЬ___3,2010-07-28,2010-07-28,2010,,32,13.7,13.7,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___3.xlsx,Суводская,ПРОФИЛЬ___3,2013-07-13,2013-07-13,2013,,32,13.1,13.1,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___3.xlsx,Суводская,ПРОФИЛЬ___3,2025-04-23,2025-04-23,2025,,31,6.900000000000002,24.62,17.72
results_models\profiles\Суводская__ПРОФИЛЬ___4.xlsx,Суводская,ПРОФИЛЬ___4,2009-07-16,2009-07-16,2009,,42,1.2,1.2,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___4.xlsx,Суводская,ПРОФИЛЬ___4,2009-10-16,2009-10-16,2009,,42,1.22,1.22,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___4.xlsx,Суводская,ПРОФИЛЬ___4,2010-07-28,2010-07-28,2010,,42,0.89,0.89,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___4.xlsx,Суводская,ПРОФИЛЬ___4,2013-07-13,2013-07-13,2013,,42,0.25,0.25,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___4.xlsx,Суводская,ПРОФИЛЬ___4,2025-04-23,2025-04-23,2025,,*,,,
results_models\profiles\Суводская__ПРОФИЛЬ___5.xlsx,Суводская,ПРОФИЛЬ___5,2009-07-16,2009-07-16,2009,,52,1.32,1.32,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___5.xlsx,Суводская,ПРОФИЛЬ___5,2010-07-28,2010-07-28,2010,,52,1.14,1.14,0.0
results_models\profiles\Суводская__ПРОФИЛЬ___5.xlsx,Суводская,ПРОФИЛЬ___5,2013-07-13,2013-07-13,2013,,,,,
results_models\profiles\Суводская__ПРОФИЛЬ___5.xlsx,Суводская,ПРОФИЛЬ___5,2025-04-23,2025-04-23,2025,,*,,,
results_models\profiles\Суводская__ПРОФИЛЬ_МЕЖДУ_ОВРАГОМ_И_БРОВКОЙ_ВДХР.xlsx,Суводская,ПРОФИЛЬ_МЕЖДУ_ОВРАГОМ_И_БРОВКОЙ_ВДХР,2009-10-16,2009-10-16,2009,,АР5,21.0,10.43,10.57
results_models\profiles\Суводская__ПРОФИЛЬ_МЕЖДУ_ОВРАГОМ_И_БРОВКОЙ_ВДХР.xlsx,Суводская,ПРОФИЛЬ_МЕЖДУ_ОВРАГОМ_И_БРОВКОЙ_ВДХР,2010-07-28,2010-07-28,2010,,АР5,20.94,10.37,10.57
results_models\profiles\Суводская__ПРОФИЛЬ_МЕЖДУ_ОВРАГОМ_И_БРОВКОЙ_ВДХР.xlsx,Суводская,ПРОФИЛЬ_МЕЖДУ_ОВРАГОМ_И_БРОВКОЙ_ВДХР,2013-07-13,2013-07-13,2013,,,,,
results_models\profiles\Суводская__ПРОФИЛЬ_МЕЖДУ_ОВРАГОМ_И_БРОВКОЙ_ВДХР.xlsx,Суводская,ПРОФИЛЬ_МЕЖДУ_ОВРАГОМ_И_БРОВКОЙ_ВДХР,2025-04-23,2025-04-23,2025,,,,,
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,1987-06-27,1987-06-27,1987,,1в,70.52,1.95,68.57
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,1990-05-23,1990-05-23,1990,,1в,69.30999999999999,0.74,68.57
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,1995-07-22,1995-07-22,1995,,1а (9507),67.18,10.15,57.03
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,1999-07-08,1999-07-08,1999,,1а,67.07,10.04,57.03
results_models\profiles\Ураков_Бугор___ПРОФИЛЬ___1.xlsx,Ураков_Бугор,_ПРОФИЛЬ___1,2000-07-09,2000-07-09,2000,,1а (0007)=1а(ниж),67.06,9.1,57.96
